-9.97	-12.27	-11.639999999999997	-16.119999999999997
-14.999999999999998	-13.689999999999998	-13.350000000000001	999
-13.490000000000002	-12.719999999999999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
-9.49	999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
-13.009999999999998	999	999	999
999	999	999	999
-13.85	999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
-15.29	999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
-9.1	999	999	999
-8.84	999	999	999
-8.14	999	999	999
-16.669999999999995	999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
-8.040000000000001	999	999	999
-8.449999999999998	999	999	999
999	999	999	999
-13.55	999	999	999
-9.689999999999998	999	999	999
-16.949999999999996	999	999	999
-14.909999999999997	999	999	999
-9.31	999	999	999
-8.36	-9.97	999	999
999	999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
-15.499999999999998	999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
-10.41	999	999	999
999	999	999	999
-14.29	999	999	999
999	999	999	999
999	999	999	999
-10.57	999	999	999
999	999	999	999
999	999	999	999
999	999	999	999
